"filename", "language", "Batch", "Groovy", "JSON", "Java", "Ini", "Markdown", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\Coordinates.java", "Java", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\Line.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\PointV.java", "Java", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoConfigurable.java", "Java", 0, 0, 0, 157, 0, 0, 0, 0, 4, 26, 187
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoOpMode.java", "Java", 0, 0, 0, 88, 0, 0, 0, 0, 1, 23, 112
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoTask.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\ShooterSetting.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiContainer.java", "Java", 0, 0, 0, 164, 0, 0, 0, 0, 186, 60, 410
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiContext.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 12, 3, 34
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiExceptions.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiInterfaces.java", "Java", 0, 0, 0, 15, 0, 0, 0, 0, 20, 3, 38
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiRule.java", "Java", 0, 0, 0, 66, 0, 0, 0, 0, 37, 17, 120
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiRuleBuilder.java", "Java", 0, 0, 0, 122, 0, 0, 0, 0, 99, 58, 279
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiCommand.java", "Java", 0, 0, 0, 66, 0, 0, 0, 0, 7, 21, 94
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiOpMode.java", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiRobot.java", "Java", 0, 0, 0, 94, 0, 0, 0, 0, 0, 43, 137
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiSubsystem.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 2, 12, 38
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiTest.java", "Java", 0, 0, 0, 74, 0, 0, 0, 0, 0, 23, 97
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiTestProctor.java", "Java", 0, 0, 0, 36, 0, 0, 0, 0, 1, 16, 53
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\WPILibDiContainer.java", "Java", 0, 0, 0, 73, 0, 0, 0, 0, 61, 35, 169
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\WPILibDiRuleBuilder.java", "Java", 0, 0, 0, 143, 0, 0, 0, 0, 0, 77, 220
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\Phoenix.json", "JSON", 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 257
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\REVLib.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 73
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\WPILibNewCommands.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\navx_frc.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\photonlib.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 41
"Total", "-", 68, 81, 561, 3091, 31, 22, 3, 5, 541, 1061, 5464
